order_number,order_date,customer_name,channel,product_name,quantity,unit_price,revenue,cost,state,state_name,us_region,lat,lon,budget
SO - 0002544,2017-01-01,NCS Group,Wholesale,Product 30,6,1239.5,7437.0,1028.7849999999999,NJ,New Jersey,Northeast,40.77955,-74.02375,1011609.684
SO - 0006431,2017-01-01,Epic Group,Wholesale,Product 13,5,1829.1000000000001,9145.5,1207.2060000000001,CO,Colorado,West,39.06387,-108.55065,3720639.645
SO - 0007491,2017-01-01,State Ltd,Wholesale,Product 15,9,2412.0,21708.0,1664.28,CA,California,West,33.96168,-118.35313,3299478.315
SO - 0008741,2017-01-01,Fivebridge Ltd,Wholesale,Product 8,8,904.5,7236.0,750.735,IA,Iowa,Midwest,42.50056,-90.66457,1085037.3290000001
SO - 0009295,2017-01-01,Tagfeed Ltd,Wholesale,Product 2,12,1112.2,13346.400000000001,811.9060000000001,FL,Florida,South,28.47689,-82.52546,3050087.565
SO - 0009270,2017-01-01,Rhynoodle Ltd,Wholesale,Product 2,11,3865.9,42524.9,2087.5860000000002,PA,Pennsylvania,Northeast,42.12922,-80.08506,3050087.565
SO - 0008849,2017-01-01,Twinte Group,Wholesale,Product 23,9,187.6,1688.3999999999999,116.312,CA,California,West,36.67774,-121.6555,1135815.7580000001
SO - 0010564,2017-01-01,Accord Group,Distributor,Product 3,8,944.7,7557.6,651.843,TX,Texas,South,32.56919,-97.12053,2642352.432
SO - 0008694,2017-01-01,Blogspan Ltd,Distributor,Product 2,5,1085.4,5427.0,672.9480000000001,TN,Tennessee,South,35.84562,-86.39027,3050087.565
SO - 0009097,2017-01-01,CLINIQUE Ltd,Distributor,Product 9,10,174.20000000000002,1742.0000000000002,130.65,CT,Connecticut,Northeast,41.53815,-72.80704,710415.405
SO - 0001333,2017-01-01,Wordpedia Ltd,Wholesale,Product 11,6,1139.0,6834.0,489.77,CA,California,West,37.48522,-122.23635,1230458.484
SO - 0002930,2017-01-01,Linklinks Ltd,Distributor,Product 18,6,2512.5,15075.0,1582.875,FL,Florida,South,26.82339,-80.13865,2309499.045
SO - 0003538,2017-01-01,Aimbo Corp,Wholesale,Product 4,11,1051.9,11570.900000000001,831.0010000000001,MO,Missouri,Midwest,38.78394,-90.48123,2885560.824
SO - 0004653,2017-01-01,Pixoboo Corp,Wholesale,Product 1,9,1232.8,11095.199999999999,788.992,WA,Washington,West,46.28569,-119.28446,3016489.209
SO - 0004702,2017-01-01,Kaymbo Company,Distributor,Product 26,11,2519.2000000000003,27711.200000000004,1309.9840000000002,CA,California,West,37.87159,-122.27275,5685138.2700000005
SO - 0005293,2017-01-01,Liberty Group,Wholesale,Product 3,10,1125.6000000000001,11256.000000000002,540.288,OK,Oklahoma,South,35.22257,-97.43948,2642352.432
SO - 0005571,2017-01-01,Chatterbri Ltd,Wholesale,Product 26,9,1112.2,10009.800000000001,556.1,CA,California,West,35.37329,-119.01871,5685138.2700000005
SO - 0007215,2017-01-01,SHISEIDO Ltd,Export,Product 18,6,1105.5,6633.0,840.1800000000001,IN,Indiana,Midwest,37.97476,-87.55585,2309499.045
SO - 0009517,2017-01-01,Blogspan Ltd,Wholesale,Product 5,12,2659.9,31918.800000000003,2207.717,MN,Minnesota,Midwest,44.02163,-92.4699,3925424.5420000004
SO - 0009687,2017-01-01,Skajo Ltd,Distributor,Product 17,9,998.3000000000001,8984.7,469.201,WI,Wisconsin,Midwest,43.01168,-88.23148,2119616.824
SO - 0001822,2017-01-01,Livepath Corp,Distributor,Product 18,8,1031.8,8254.4,866.7119999999999,TX,Texas,South,32.91592,-96.54867,2309499.045
SO - 0003716,2017-01-01,Realbuzz Ltd,Wholesale,Product 14,5,5728.5,28642.5,3437.1,OH,Ohio,Midwest,41.40477,-81.72291,4028698.4090000005
SO - 0004300,2017-01-01,MEIJER Corp,Wholesale,Product 28,9,2251.2000000000003,20260.800000000003,1868.496,CA,California,West,33.74557,-117.86783,1003867.767
SO - 0006401,2017-01-01,Aldi Ltd,Export,Product 27,12,1078.7,12944.400000000001,776.664,CA,California,West,37.6391,-120.99688,964940.2310000001
SO - 0006761,2017-01-01,Twimbo Company,Distributor,Product 4,10,2613.0,26130.0,1829.1,GA,Georgia,South,32.5971,-83.65394,2885560.824
SO - 0007043,2017-01-01,Army Group,Distributor,Product 25,10,1132.3,11323.0,826.579,CA,California,West,33.60002,-117.672,5342315.484
SO - 0007191,2017-01-01,Eayo Company,Distributor,Product 5,9,1078.7,9708.300000000001,722.729,GA,Georgia,South,33.95219,-83.36715,3925424.5420000004
SO - 0010754,2017-01-01,Pacific Ltd,Distributor,Product 6,9,1963.1000000000001,17667.9,1629.373,FL,Florida,South,27.94752,-82.45843,1672229.416
SO - 000378,2017-01-01,Jayo Company,Wholesale,Product 13,11,924.6,10170.6,536.268,OH,Ohio,Midwest,40.8686,-81.36892,3720639.645
SO - 0002059,2017-01-01,Feednation Corp,Wholesale,Product 3,9,1018.4,9165.6,407.36,TX,Texas,South,32.58986,-96.85695,2642352.432
SO - 0009193,2017-01-01,NARS Group,Distributor,Product 3,5,891.1,4455.5,730.702,FL,Florida,South,27.49893,-82.57482,2642352.432
SO - 0002350,2017-01-01,Johnson Ltd,Distributor,Product 13,12,884.4,10612.8,486.42,CT,Connecticut,Northeast,41.5585,-73.03668,3720639.645
SO - 0004688,2017-01-01,Flipstorm Group,Wholesale,Product 25,8,1038.5,8308.0,633.485,CA,California,West,33.72835,-117.14642,5342315.484
SO - 0005205,2017-01-01,CARDINAL Group,Wholesale,Product 8,11,2378.5,26163.5,1403.3149999999998,OK,Oklahoma,South,36.03653,-95.781,1085037.3290000001
SO - 0007853,2017-01-01,Twimbo Company,Distributor,Product 16,8,1018.4,8147.2,448.096,AR,Arkansas,South,34.74648,-92.28959,2062061.144
